last_measure,pm10,pm10_level,co,co_level,no2,no2_level,pm25,pm25_level,
2018-09-19 00:00:00,16,moderate,358,good,6,good,14,moderate,
2018-12-16 00:00:00,25,moderate,496,good,15,good,22,unhealthy-low,
2018-02-16 00:00:00,18,moderate,202,good,12,good,16,unhealthy-low,
2018-05-02 00:00:00,19,moderate,557,good,2,good,16,unhealthy-low,
2018-09-19 00:00:00,57,unhealthy,73,good,1,good,48,unhealthy-high,
2018-08-02 00:00:00,14,good,131,good,3,good,12,moderate,
2018-08-02 00:00:00,14,good,146,good,4,good,13,moderate,
2018-01-30 00:00:00,19,moderate,109,good,5,good,16,unhealthy-low,
2018-11-05 00:00:00,10,good,68,good,9,good,7,good,
2018-11-06 00:00:00,21,moderate,110,good,9,good,17,unhealthy-low,
2019-06-08 00:00:00,4,good,468,good,119,moderate,4,good,
2019-06-13 00:00:00,17,moderate,246,good,0,good,15,unhealthy-low,
2018-12-16 00:00:00,7,good,418,good,0,good,5,good,
2019-06-13 00:00:00,22,moderate,1123,good,0,good,22,unhealthy-low,
2018-04-27 00:00:00,16,moderate,41,good,6,good,12,moderate,
2018-09-19 00:00:00,19,moderate,127,good,8,good,15,unhealthy-low,
2018-01-24 00:00:00,24,moderate,103,good,5,good,22,unhealthy-low,
2018-12-14 00:00:00,35,unhealthy-low,424,good,13,good,158,unhealthy-high,
2018-01-25 00:00:00,17,moderate,126,good,5,good,16,unhealthy-low,
2018-09-19 00:00:00,14,good,232,good,4,good,12,moderate,
2018-01-12 00:00:00,5,good,66,good,4,good,4,good,
2018-01-24 00:00:00,21,moderate,49,good,6,good,20,unhealthy-low,
2018-11-06 00:00:00,23,moderate,103,good,10,good,18,unhealthy-low,
2018-01-15 00:00:00,16,moderate,71,good,6,good,12,moderate,
2018-03-15 00:00:00,6,good,346,good,1,good,6,good,
2018-09-19 00:00:00,13,good,49,good,12,good,10,moderate,
2018-03-15 00:00:00,29,moderate,499,good,3,good,27,unhealthy,
2018-11-06 00:00:00,8,good,299,good,8,good,7,good,
2018-01-22 00:00:00,35,unhealthy-low,67,good,4,good,33,unhealthy,
2019-06-13 00:00:00,10,good,303,good,0,good,10,moderate,
2018-01-30 00:00:00,25,moderate,308,good,11,good,22,unhealthy-low,
2018-01-30 00:00:00,20,moderate,99,good,8,good,18,unhealthy-low,
2019-06-10 00:00:00,0,good,561,good,0,good,0,good,
2019-06-10 00:00:00,15,moderate,7832,unhealthy-low,0,good,12,moderate,
2018-01-24 00:00:00,22,moderate,47,good,2,good,20,unhealthy-low,
2018-12-16 00:00:00,8,good,244,good,5,good,7,good,
2018-11-06 00:00:00,21,moderate,142,good,11,good,16,unhealthy-low,
2018-05-02 00:00:00,18,moderate,127,good,6,good,14,moderate,
2018-11-05 00:00:00,60,unhealthy,94,good,4,good,40,unhealthy-high,
2019-06-10 00:00:00,2,good,447,good,0,good,2,good,
2018-12-16 00:00:00,25,moderate,450,good,5,good,21,unhealthy-low,
2018-02-15 00:00:00,20,moderate,323,good,5,good,18,unhealthy-low,
2018-05-07 00:00:00,2,good,3936,moderate,0,good,2,good,
2018-12-16 00:00:00,19,moderate,362,good,0,good,15,unhealthy-low,
2018-11-05 00:00:00,68,unhealthy,26,good,3,good,41,unhealthy-high,
2018-11-14 00:00:00,17,moderate,127,good,1,good,15,unhealthy-low,
2018-04-25 00:00:00,26,moderate,81,good,9,good,22,unhealthy-low,
2019-06-13 00:00:00,7,good,321,good,0,good,7,good,
2018-01-24 00:00:00,16,moderate,47,good,6,good,15,unhealthy-low,
2019-06-10 00:00:00,1,good,699,good,0,good,1,good,
2018-01-12 00:00:00,20,moderate,142,good,4,good,18,unhealthy-low,
2018-09-19 00:00:00,19,moderate,359,good,10,good,16,unhealthy-low,
2018-11-06 00:00:00,18,moderate,225,good,7,good,16,unhealthy-low,
2019-06-10 00:00:00,52,unhealthy,851,good,107,moderate,739,unhealthy-high,
2018-03-20 00:00:00,12,good,43,good,9,good,9,good,
2019-06-13 00:00:00,13,good,573,good,0,good,13,moderate,
2018-07-05 00:00:00,18,moderate,301,good,1,good,16,unhealthy-low,
2018-05-07 00:00:00,1,good,2769,good,0,good,1,good,
2019-06-10 00:00:00,33,unhealthy-low,591,good,0,good,18,unhealthy-low,
2018-12-15 00:00:00,28,moderate,267,good,10,good,23,unhealthy-low,
2018-12-13 00:00:00,22,moderate,764,good,10,good,18,unhealthy-low,
2018-09-19 00:00:00,7,good,36,good,3,good,7,good,
2018-01-24 00:00:00,19,moderate,10,good,6,good,17,unhealthy-low,
2018-09-19 00:00:00,20,moderate,598,good,9,good,18,unhealthy-low,
2018-12-17 00:00:00,75,unhealthy-high,509,good,6,good,280,unhealthy-high,
2018-01-24 00:00:00,24,moderate,68,good,6,good,22,unhealthy-low,
2018-11-05 00:00:00,385,unhealthy-high,23,good,28,good,165,unhealthy-high,
